Key;Item Type;Publication Year;Author;Title;categoría recurrente;CSF principal;Takeaway;Abstract;Publication Title;Citations;ISSN;DOI;Url;Year;Date Added;Date Modified;Access Date;Pages;Issue;Volume;Journal Abbreviation
IWLN8PA5;journalArticle;2022;"Żebrowski, Piotr; Couce‐Vieira, Aitor; Mancuso, Alessandro";A Bayesian Framework for the Analysis and Optimal Mitigation of Cyber Threats to Cyber‐Physical Systems;Financial optimization and efficient allocation of resources;Optimización basada en modelos probabilísticos para inversión eficaz en ciberseguridad;Our Bayesian network-based framework optimizes cybersecurity resources by considering potential synergies and minimizing cyberattack impacts while meeting budget constraints.;"Critical infrastructures are increasingly reliant on information and communications technology (ICT) for more efficient operations, which, at the same time, exposes them to cyber threats. As the frequency and severity of cyberattacks are increasing, so are the costs of critical infrastructure security. Efficient allocation of resources is thus a crucial issue for cybersecurity. A common practice in managing cyber threats is to conduct a qualitative analysis of individual attack scenarios through risk matrices, prioritizing the scenarios according to their perceived urgency and addressing them in order until all the resources available for cybersecurity are spent. Apart from methodological caveats, this approach may lead to suboptimal resource allocations, given that potential synergies between different attack scenarios and among available security measures are not taken into consideration. To overcome this shortcoming, we propose a quantitative framework that features: (1) a more holistic picture of the cybersecurity landscape, represented as a Bayesian network (BN) that encompasses multiple attack scenarios and thus allows for a better appreciation of vulnerabilities; and (2) a multiobjective optimization model built on top of the said BN that explicitly represents multiple dimensions of the potential impacts of successful cyberattacks. Our framework adopts a broader perspective than the standard cost-benefit analysis and allows the formulation of more nuanced security objectives. We also propose a computationally efficient algorithm that identifies the set of Pareto-optimal portfolios of security measures that simultaneously minimize various types of expected cyberattack impacts, while satisfying budgetary and other constraints. We illustrate our framework with a case study of electric power grids.";Risk Analysis;25;0272-4332, 1539-6924;10.1111/risa.13900;https://onlinelibrary.wiley.com/doi/10.1111/risa.13900;2022;12/4/2026 22:56;12/4/2026 22:56;12/4/2026 22:56;2275-2290;10;42;Risk Analysis
FEKZI948;journalArticle;2023;Melaku, Henock Mulugeta;A Dynamic and Adaptive Cybersecurity Governance Framework;Governance and adaptive leadership in cybersecurity;Gobernanza adaptativa y dinámica como base para enfrentar amenazas emergentes;A simple, dynamic, and adaptive cybersecurity governance framework is proposed that addresses current and future technology and threat landscapes, while ensuring strategic direction and optimal resource utilization.;"Cybersecurity protects cyberspace from a wide range of cyber threats to reduce overall business risk, ensure business continuity, and maximize business opportunities and return on investments. Cybersecurity is well achieved by using appropriate sets of security governance frameworks. To this end, various Information Technology (IT) and cybersecurity governance frameworks have been reviewed along with their benefits and limitations. The major limitations of the reviewed frameworks are; they are complex and have complicated structures to implement, they are expensive and require high skill IT and security professionals. Moreover, the frameworks require many requirement checklists for implementation and auditing purposes and a lot of time and resources. To fill the limitations mentioned above, a simple, dynamic, and adaptive cybersecurity governance framework is proposed that provides security related strategic direction, ensures that security risks are managed appropriately, and ensures that organizations’ resources are utilized optimally. The framework incorporated different components not considered in the existing frameworks, such as research and development, public-private collaboration framework, regional and international cooperation framework, incident management, business continuity, disaster recovery frameworks, and compliance with laws and regulations. Moreover, the proposed framework identifies and includes some of the existing frameworks’ missed and overlapped components, processes, and activities. It has nine components, five activities, four outcomes, and seven processes. Performance metrics, evaluation, and monitoring techniques are also proposed. Moreover, it follows a risk based approach to address the current and future technology and threat landscapes. The design science research method was used in this research study to solve the problem mentioned. Using the design science research method, the problem was identified. Based on the problem, research objectives were articulated; the objective of this research was solved by developing a security governance framework considering different factors which were not addressed in the current works. Finally, performance metrics were proposed to evaluate the implementation of the governance framework.";Journal of Cybersecurity and Privacy;40;2624-800X;10.3390/jcp3030017;https://www.mdpi.com/2624-800X/3/3/17;2023;12/4/2026 22:53;12/4/2026 22:53;12/4/2026 22:53;327-350;3;3;JCP
C2IGM2GC;journalArticle;2022;Sawik, Tadeusz;A linear model for optimal cybersecurity investment in Industry 4.0 supply chains;Financial optimization and efficient allocation of resources;Uso de modelos matemáticos para maximizar retorno y eficiencia en la inversión en ciberseguridad;The linear optimisation model optimizes cybersecurity investment in Industry 4.0 supply chains, minimizing investment and expected loss costs from security breaches.;This paper presents a mixed integer linear programming formulation for optimisation of cybersecurity investment in Industry 4.0 supply chains. Using a recursive linearisation procedure, a complex nonlinear stochastic combinatorial optimisation model with a classical exponential function of breach probability is transformed into its linear equivalent. The obtained linear optimisation model is capable of selecting optimal portfolio of security safeguards to minimise cybersecurity investment and expected cost of losses from security breaches in a supply chain. The new efficiency measures of cybersecurity investment are introduced: cybersecurity value and cybersecurity ratio. In addition, the proposed linear model has been enhanced for the Hurwicz-type, best–worst criterion to minimise a convex combination of the minimal and the maximal supply chain node vulnerability, under limited budget. The resulting compromise cybersecurity investment aims at balancing vulnerability over the entire supply chain, independent of cyberattack probabilities and potential losses by security breaches, thereby hardening the weaker critical nodes. The findings indicate a crucial role of intrinsic vulnerability, determined by the architecture of Industry 4.0 supply chain, and highlight ‘design for cybersecurity’ as an important emerging area of research.;International Journal of Production Research;51;0020-7543, 1366-588X;10.1080/00207543.2020.1856442;https://www.tandfonline.com/doi/full/10.1080/00207543.2020.1856442;2020;12/4/2026 22:58;12/4/2026 22:58;12/4/2026 22:58;1368-1385;4;60;International Journal of Production Research
MIDEHJWP;journalArticle;2022;"Silaule, Carol B.; Makhubele, Lean M.; Mamorobela, Stevens P.";A model to reduce insider cybersecurity threats in a South African telecommunications company;Organizational culture and internal awareness;Fomento de normas y cultura organizacional sólida para evitar amenazas internas;Personal cybersecurity norms positively influence individuals' attitudes towards misbehavior, significantly reducing insider threats in a South African telecommunications company.;Background: Cybersecurity breaches have become a growing challenge in today’s digital economy. Organisations are faced with the responsibility of protecting their information resources from cybersecurity threats, and insider threats are one of them. Organisations have sophisticated technologies to protect themselves against these attacks, and their employees are often less guarded when it comes to protecting valuable company information systems.Objectives: This research was aimed to develop and conceptualise a model to reduce cybersecurity insider threats in a South African telecommunication organisation.Method: This study was conducted using a survey research approach, where close-ended questionnaires were utilised to collect data from respondents. The collected data was then analysed using IBM Statistical Package for Social Science (SPSS).Results: The findings of the study indicated that personal norms in the domain of cybersecurity have a positive influence on individuals’ attitude towards engaging in cybersecurity misbehaviour, and this has a significant relationship with their reduction of insider threats (RIT).Conclusion: This study suggests that management should give close and thoughtful attention to factors that encourage their employees to engage in cybersecurity misbehaviour. As an efficient and effective approach to mitigate the risk of cybersecurity insider threats, identification and classification of these factors should be followed by proper planning with a goal of reducing their negative effect on employees’ behaviour.;SA Journal of Information Management;7;1560-683X, 2078-1865;10.4102/sajim.v24i1.1573;http://www.sajim.co.za/index.php/SAJIM/article/view/1573;2022;12/4/2026 22:57;12/4/2026 22:57;12/4/2026 22:57;;1;24;SA Journal of Information Management
B8SXMXJ9;journalArticle;2023;"Saeed, Saqib; Suayyid, Sarah A.; Al-Ghamdi, Manal S.; Al-Muhaisen, Hayfa; Almuhaideb, Abdullah M.";A Systematic Literature Review on Cyber Threat Intelligence for Organizational Cybersecurity Resilience;Focus on Threat Intelligence and Predictive Analytics (CTI);Integración y aplicación efectiva de inteligencia de amenazas (CTI) para anticipar y mitigar riesgos;Cyber threat intelligence (CTI) enhances organizational cybersecurity resilience by providing information on potential risks and opportunities, and a comprehensive framework for implementing it.;Cybersecurity is a significant concern for businesses worldwide, as cybercriminals target business data and system resources. Cyber threat intelligence (CTI) enhances organizational cybersecurity resilience by obtaining, processing, evaluating, and disseminating information about potential risks and opportunities inside the cyber domain. This research investigates how companies can employ CTI to improve their precautionary measures against security breaches. The study follows a systematic review methodology, including selecting primary studies based on specific criteria and quality valuation of the selected papers. As a result, a comprehensive framework is proposed for implementing CTI in organizations. The proposed framework is comprised of a knowledge base, detection models, and visualization dashboards. The detection model layer consists of behavior-based, signature-based, and anomaly-based detection. In contrast, the knowledge base layer contains information resources on possible threats, vulnerabilities, and dangers to key assets. The visualization dashboard layer provides an overview of key metrics related to cyber threats, such as an organizational risk meter, the number of attacks detected, types of attacks, and their severity level. This relevant systematic study also provides insight for future studies, such as how organizations can tailor their approach to their needs and resources to facilitate more effective collaboration between stakeholders while navigating legal/regulatory constraints related to information sharing.;Sensors;86;1424-8220;10.3390/s23167273;https://www.mdpi.com/1424-8220/23/16/7273;2023;12/4/2026 22:55;12/4/2026 22:55;12/4/2026 22:55;7273;16;23;Sensors
34TXFSAB;journalArticle;2025;"Alevizos, Lampis; Bhakuni, Lalit; Jäschke, Stefan";A value driven framework for cybersecurity innovation in transportation and infrastructure;Interagency collaboration and regulatory best practices;Cooperación interinstitucional y políticas colaborativas para fortalecer la resiliencia ante amenazas;This paper introduces a value-driven cybersecurity innovation framework for transportation and infrastructure sectors, fostering a culture of self-innovation and aligning cybersecurity initiatives with mission-critical objectives.;This paper introduces a value-driven cybersecurity innovation framework for the transportation and infrastructure sectors, as opposed to the traditional market-centric approaches that have dominated the field. Recontextualizing innovation categories into sustaining, incremental, disruptive, and transformative, we aim to foster a culture of self-innovation within organizations, enabling a strategic focus on cybersecurity measures that directly contribute to business value and strategic goals. This approach enhances operational effectiveness and efficiency of cyber defences primarily, while also aligns cybersecurity initiatives with mission-critical objectives. We detail a practical method for evaluating the business value of cybersecurity innovations and present a pragmatic approach for organizations to funnel innovative ideas in a structured and repeatable manner. Lastly, shifting the focus from general market appeal to sector-specific needs, our framework provides cybersecurity leaders with the strategic cyber-foresight necessary for prioritizing impactful initiatives, thereby making cybersecurity a core business enabler rather than a burden.;International Journal of Information Technology;3;2511-2104, 2511-2112;10.1007/s41870-024-02288-w;https://link.springer.com/10.1007/s41870-024-02288-w;2024;12/4/2026 22:45;12/4/2026 22:45;12/4/2026 22:45;321-331;1;17;Int. j. inf. tecnol.
GHMNEXMB;journalArticle;2022;Triplett, William J.;Addressing Human Factors in Cybersecurity Leadership;Financial optimization and efficient allocation of resources;Priorización basada en análisis de riesgos para decisiones sobre seguridad;Human factors, such as communication, interaction, and social environments, contribute to cybersecurity challenges, and addressing these factors through education, awareness, and communication can improve an organization's strategy.;"This article identifies human factors in workplaces that contribute to the challenges faced by cybersecurity leadership within organizations and discusses strategic communication, human–computer interaction, organizational factors, social environments, and security awareness training. Cybersecurity does not simply focus on information technology systems; it also considers how humans use information systems and susceptible actions leading to vulnerabilities. As cyber leaders begin to identify human behavior and processes and collaborate with individuals of the same mindset, an organization’s strategy can improve substantially. Cybersecurity has been an expanding focal point from the viewpoint of human factors. Human inaccuracy can be unintentional due to an inaccurate strategic implementation or accurate unsatisfactory plan implementation. A systematic literature review was conducted to realize unintentional human factors in cybersecurity leadership. The results indicate that humans were the weakest link during the transmission of secure data. Furthermore, specific complacent and unintentional behaviors were observed, enabled by the ignorance of leaders and employees. Therefore, the enforcement of cybersecurity focuses on education, awareness, and communication. A research agenda is outlined, highlighting a further need for interdisciplinary research. This study adopts an original approach by viewing security from a human perspective and assessing how people can reduce cybersecurity incidents.";Journal of Cybersecurity and Privacy;53;2624-800X;10.3390/jcp2030029;https://www.mdpi.com/2624-800X/2/3/29;2022;12/4/2026 22:57;12/4/2026 22:57;12/4/2026 22:57;573-586;3;2;JCP
GS4D76M4;journalArticle;2024;"El Amin, Habib; Samhat, Abed Ellatif; Chamoun, Maroun; Oueidat, Lina; Feghali, Antoine";An Integrated Approach to Cyber Risk Management with Cyber Threat Intelligence Framework to Secure Critical Infrastructure;Financial optimization and efficient allocation of resources;Medición y demostración del valor de la inversión en ciberseguridad en términos de continuidad del negocio;A new cyber risk management framework incorporating cyber threat intelligence can bridge the knowledge gap between adversaries and security practitioners, improving decision-making and defenses in critical infrastructure.;Emerging cyber threats’ sophistication, impact, and complexity rapidly evolve, confronting organizations with demanding challenges. This severe escalation requires a deeper understanding of adversary dynamics to develop enhanced defensive strategies and capabilities. Cyber threat actors’ advanced techniques necessitate a proactive approach to managing organizations’ risks and safeguarding cyberspace. Cyber risk management is one of the most efficient measures to anticipate cyber threats. However, it often relies on organizations’ contexts and overlooks adversaries, their motives, capabilities, and tactics. A new cyber risk management framework incorporating emergent information about the dynamic threat landscape is needed to overcome these limitations and bridge the knowledge gap between adversaries and security practitioners. Such information is the product of a cyber threat intelligence process that proactively delivers knowledge about cyber threats to inform decision-making and strengthen defenses. In this paper, we overview risk management and threat intelligence frameworks. Then, we highlight the necessity of integrating cyber threat intelligence and assessment in cyber risk management. After that, we propose a novel risk management framework with integrated threat intelligence on top of EBIOS Risk Manager. Finally, we apply the proposed framework in the scope of a national telecommunications organization.;Journal of Cybersecurity and Privacy;11;2624-800X;10.3390/jcp4020018;https://www.mdpi.com/2624-800X/4/2/18;2024;12/4/2026 22:45;12/4/2026 22:45;12/4/2026 22:45;357-381;2;4;JCP
R5MI9WXV;journalArticle;2022;"Kure, Halima Ibrahim; Islam, Shareeful; Mouratidis, Haralambos";An integrated cyber security risk management framework and risk predication for the critical infrastructure protection;Technology integration and automation;Impulso de innovación tecnológica (IA, automatización, aprendizaje profundo) como catalizador de protección;The i-CSRM framework effectively identifies critical assets, predicts risk types, and assesses the effectiveness of existing controls in critical infrastructure protection.;Cyber security risk management plays an important role for today's businesses due to the rapidly changing threat landscape and the existence of evolving sophisticated cyber attacks. It is necessary for organisations, of any size, but in particular those that are associated with a critical infrastructure, to understand the risks, so that suitable controls can be taken for the overall business continuity and critical service delivery. There are a number of works that aim to develop systematic processes for risk assessment and management. However, the existing works have limited input from threat intelligence properties and evolving attack trends, resulting in limited contextual information related to cyber security risks. This creates a challenge, especially in the context of critical infrastructures, since attacks have evolved from technical to socio-technical and protecting against them requires such contextual information. This research proposes a novel integrated cyber security risk management (i-CSRM) framework that responds to that challenge by supporting systematic identification of critical assets through the use of a decision support mechanism built on fuzzy set theory, by predicting risk types through machine learning techniques, and by assessing the effectiveness of existing controls. The framework is composed of a language, a process, and it is supported by an automated tool. The paper also reports on the evaluation of our work to a real case study of a critical infrastructure. The results reveal that using the fuzzy set theory in assessing assets' criticality, our work supports stakeholders towards an effective risk management by assessing each asset's criticality. Furthermore, the results have demonstrated the machine learning classifiers' exemplary performance to predict different risk types including denial of service, cyber espionage and crimeware.;Neural Computing and Applications;86;0941-0643, 1433-3058;10.1007/s00521-022-06959-2;https://link.springer.com/10.1007/s00521-022-06959-2;2022;12/4/2026 22:52;12/4/2026 22:52;12/4/2026 22:52;15241-15271;18;34;Neural Comput & Applic
JEN2JA3J;journalArticle;2023;Bilen, Cenk Aksoy;Are critical success factors for cybersecurity just technical issues Cybersecurity management and the human factor;Interagency collaboration and regulatory best practices;Alianzas estratégicas con actores clave del ecosistema digital;Effective cybersecurity management requires both technical controls and the management of human factors, as over 85% of breaches are attributable to human factors.;"Purpose- With the rapid advancement of information and communication technologies, businesses are facing growing security risks. The prevalence, intensity, and complexity of cyber attacks worsen these vulnerabilities, leading to a rising focus on cybersecurity. Enterprises exposed to such cyberattacks might not only face considerable financial losses but also experience data breaches, operational interruptions, harm to their reputation, regulatory penalties, legal expenses, reduced competitive standing, and increased insurance premiums. In this concept study discusses the importance of human factors in cybersecurity management. While organizations spend billions on information technology systems and software to detect and prevent cyber threats, individuals play a critical role in managing these risks.
Methodology- Through a review of literature and statistical data, study examines the factors contributing to cybersecurity breaches, the allocation of resources to address them, and proposes potential solutions. 
Findings- In the workplace, most research on cybersecurity focuses on employees as the most important source of vulnerability. In the literature review, it is understood that an employee’s carelessness and lack of awareness pose the greatest risk to cybersecurity. However, businesses often fail to show sufficient attention to human behavior in their efforts to keep organizational data secure and to plan security strategies. It is important to note that effective cybersecurity management requires not only technical controls but also the management of human factors. Meanwhile, security expenditures in enterprises are often disproportionately allocated to technology investments, with 97% being spent on technology investments, despite the fact that over 85% of breaches are attributable to human factors.
Conclusion- In the literature review, it is understood that cybersecurity management is not only related to technical controls, but also the management of human factors is of critical importance. The management of individuals is also an essential cybersecurity responsibility. It is important to adopt a holistic approach to cybersecurity management includes both technical and human perspectives. Cybersecurity awareness has significant benefits for businesses to effectively manage cybersecurity which can be achieved by developing appropriate training programs and foster a cybersecurity culture. 

Keywords: Cybersecurity, cybersecurity management, cybersecurity awareness, technology investments, human factor
JEL Codes: M12, M15, L86
";Pressacademia;0;2146-7943;10.17261/Pressacademia.2023.1735;http://www.pressacademia.org/archives/rjbm/v10/i2/2.pdf;2023;12/4/2026 22:47;12/4/2026 22:47;12/4/2026 22:47;2;;;Pressacademia
